client_id	path	sentence	up_votes	down_votes	age	gender	accent	locale	segment
c7c4e5ded1e6121c38594d1e3bbb5a49f1d269f96c2591f9e2d4da7cf5c9cdc7598248c5d24452c832160a2503d344167242cafabc1dc3936e1a6065b281ae77	common_voice_hi_23795238.mp3	तुम्हारे पास तीन महीने बचे हैं।	2	1	twenties	male		hi	
c7c4e5ded1e6121c38594d1e3bbb5a49f1d269f96c2591f9e2d4da7cf5c9cdc7598248c5d24452c832160a2503d344167242cafabc1dc3936e1a6065b281ae77	common_voice_hi_23795239.mp3	मैं खाती हूँ।	2	1	twenties	male		hi	
c7c4e5ded1e6121c38594d1e3bbb5a49f1d269f96c2591f9e2d4da7cf5c9cdc7598248c5d24452c832160a2503d344167242cafabc1dc3936e1a6065b281ae77	common_voice_hi_23795241.mp3	बाईं ओर को एक गुप्त रास्ता है।	2	1	twenties	male		hi	
c7c4e5ded1e6121c38594d1e3bbb5a49f1d269f96c2591f9e2d4da7cf5c9cdc7598248c5d24452c832160a2503d344167242cafabc1dc3936e1a6065b281ae77	common_voice_hi_23795243.mp3	यह स्याही सबसे अच्छी है।	2	0	twenties	male		hi	
c7c4e5ded1e6121c38594d1e3bbb5a49f1d269f96c2591f9e2d4da7cf5c9cdc7598248c5d24452c832160a2503d344167242cafabc1dc3936e1a6065b281ae77	common_voice_hi_23795244.mp3	डब्बा इतना भारी था कि मैं उसे हिला नहीं सका।	2	0	twenties	male		hi	
c7c4e5ded1e6121c38594d1e3bbb5a49f1d269f96c2591f9e2d4da7cf5c9cdc7598248c5d24452c832160a2503d344167242cafabc1dc3936e1a6065b281ae77	common_voice_hi_23795245.mp3	वे कुछ करते क्यों नहीं?	2	0	twenties	male		hi	
c7c4e5ded1e6121c38594d1e3bbb5a49f1d269f96c2591f9e2d4da7cf5c9cdc7598248c5d24452c832160a2503d344167242cafabc1dc3936e1a6065b281ae77	common_voice_hi_23795246.mp3	मैं पूरी रात रोई।	2	1	twenties	male		hi	
c7c4e5ded1e6121c38594d1e3bbb5a49f1d269f96c2591f9e2d4da7cf5c9cdc7598248c5d24452c832160a2503d344167242cafabc1dc3936e1a6065b281ae77	common_voice_hi_23795247.mp3	तुम गलत मंज़िल पर हो।	2	0	twenties	male		hi	
c7c4e5ded1e6121c38594d1e3bbb5a49f1d269f96c2591f9e2d4da7cf5c9cdc7598248c5d24452c832160a2503d344167242cafabc1dc3936e1a6065b281ae77	common_voice_hi_23795248.mp3	आभा ने राठौड़ से जेल में मुलाकात की	2	0	twenties	male		hi	
c7c4e5ded1e6121c38594d1e3bbb5a49f1d269f96c2591f9e2d4da7cf5c9cdc7598248c5d24452c832160a2503d344167242cafabc1dc3936e1a6065b281ae77	common_voice_hi_23795249.mp3	उसने हमसे बहुत देर तक इंतेज़ार करवाया।	2	0	twenties	male		hi	
