client_id	path	sentence	up_votes	down_votes	age	gender	accent	locale	segment
b3a9d00791dae63b944756627fdb96c21c53f4d69beef3a56780607d83e56d0a6faf52d5d704c925bb323f8b2c9a168a87c2cd94fcc3d3abf6b034c9e7f5cd77	common_voice_hi_23937563.mp3	नीति मोहन की शादी में शामिल नहीं हो सके पिता, ये थी वजह	0	1	thirties	male		hi	
da10f782c53d93ec1dbf793a1f5404dbdfd390c9abdacd218d0c47e2366a569d50841b5ad9075f9b83e2c16b9194ab1be1f91e407a546218999fa14e2b49a3eb	common_voice_hi_23964494.mp3	चीन में हुई भारतीय राजनयिक की पिटाई	0	1	twenties	male		hi	
da10f782c53d93ec1dbf793a1f5404dbdfd390c9abdacd218d0c47e2366a569d50841b5ad9075f9b83e2c16b9194ab1be1f91e407a546218999fa14e2b49a3eb	common_voice_hi_23964505.mp3	फेसबुक, ट्विटर और व्हॉट्सऐप पर अफवाह फैलाने वालों की खैर नहीं	1	0	twenties	male		hi	
f398e532c4307d0fb6f23dda4b599e05c8483a5211aab4dba56e24a0acc89810af5b98cc96afe0b55fdee3b41250c05571fa3d170e517213e71e52e481a80df1	common_voice_hi_23976029.mp3	मास्को रूस की राजधानी है।	0	1	twenties	male		hi	
f398e532c4307d0fb6f23dda4b599e05c8483a5211aab4dba56e24a0acc89810af5b98cc96afe0b55fdee3b41250c05571fa3d170e517213e71e52e481a80df1	common_voice_hi_23976033.mp3	लखनऊ साक्षरता अभियान को किरण बेदी का समर्थन	0	1	twenties	male		hi	
f398e532c4307d0fb6f23dda4b599e05c8483a5211aab4dba56e24a0acc89810af5b98cc96afe0b55fdee3b41250c05571fa3d170e517213e71e52e481a80df1	common_voice_hi_23976035.mp3	राजा और रानी आ रहे हैं।	1	0	twenties	male		hi	
f398e532c4307d0fb6f23dda4b599e05c8483a5211aab4dba56e24a0acc89810af5b98cc96afe0b55fdee3b41250c05571fa3d170e517213e71e52e481a80df1	common_voice_hi_23976037.mp3	टॉम ने मैरी को अपना असली नाम नहीं बताया।	1	0	twenties	male		hi	
f398e532c4307d0fb6f23dda4b599e05c8483a5211aab4dba56e24a0acc89810af5b98cc96afe0b55fdee3b41250c05571fa3d170e517213e71e52e481a80df1	common_voice_hi_23976078.mp3	"'फटाफट क्रिकेट' से डर नहीं रहे फिल्म निर्माता"	1	0	twenties	male		hi	
01d2927632881e1887818a92453394a885765e7cb113036a1dc31ff0b2e5e9c4a8bab714ecd7b70814705c87e6b4bf7f28f71bcdecb5c5b4b9e376c75dc2806f	common_voice_hi_24002515.mp3	चूतिये!	0	1				hi	
6f3cdaef649635685d3a90ee62bab981848e6ed6f25f28b9b43c2f3d4ac51b4e42a36ead3b4b83add1e9bd60f0c66f05ecfe7c7c5154b6345a1c2f1c85b32fa8	common_voice_hi_24004899.mp3	पाकिस्तान: चोवा गुरुद्वारे का उद्घाटन समारोह स्थगित, बंटवारे के बाद से है बंद	1	0				hi	
